Sandover River,SF5308,"(138,-21),(136.5,-22)"
Sandstone,SG5016,"(120,-27),(118.5,-28)"
Scott,SG5206,"(129,-25),(127.5,-26)"
Seemore,SH5112,"(126,-30),(124.5,-31)"
Simpson Desert North,SG5304,"(138,-24),(136.5,-25)"
Simpson Desert South,SG5308,"(138,-25),(136.5,-26)"
Singleton,SI5601,"(151.5,-32),(150,-33)"
Sir Samuel,SG5113,"(121.5,-27),(120,-28)"
South Lake Woods,SE5309,"(133.5,-18),(132,-19)"
Southern Cross,SH5016,"(120,-31),(118.5,-32)"
Springsure,SG5503,"(148.5,-24),(147,-25)"
Springvale,SF5414,"(141,-23),(139.5,-24)"
St Arnaud,SJ5404,"(144,-36),(142.5,-37)"
St George,SH5504,"(150,-28),(148.5,-29)"
St Lawrence,SF5512,"(150,-22),(148.5,-23)"
Stanley,SG5106,"(123,-25),(121.5,-26)"
Stansmore,SF5206,"(129,-21),(127.5,-22)"
Streaky Bay,SI5302,"(135,-32),(133.5,-33)"
Strzelecki,SH5402,"(141,-28),(139.5,-29)"
Surat,SG5516,"(150,-27),(148.5,-28)"
Swan Hill,SI5416,"(144,-35),(142.5,-36)"
Sydney SP,SI5605,"(151.5,-33),(150,-34)"
Tabletop,SF5111,"(124.5,-22),(123,-23)"
Talbot,SG5209,"(127.5,-26),(126,-27)"
Tallangatta,SJ5503,"(148.5,-36),(147,-37)"
Tallaringa,SH5305,"(133.5,-29),(132,-30)"
Tambo,SG5502,"(147,-24),(145.5,-25)"
Tamworth,SH5613,"(151.5,-31),(150,-32)"
Tanami,SE5215,"(130.5,-19),(129,-20)"
Tanami East,SE5216,"(132,-19),(130.5,-20)"
Tangorin,SF5505,"(145.5,-21),(144,-22)"
Tanumbirini,SE5302,"(135,-15),(133.5,-17)"
Tarcoola,SH5310,"(135,-30),(133.5,-31)"
Taroom,SG5508,"(150,-25),(148.5,-26)"
Tasmania North East,SK5503,"(148.5,-40),(147,-41)"
Tasmania North West,SK5502,"(147,-40),(145.5,-41)"
Tasmania South East,SK5507,"(148.5,-41),(147,-42)"
Tasmania South West,SK5506,"(147,-41),(145.5,-42)"
Tennant Creek,SE5314,"(135,-19),(133.5,-20)"
Thargominda,SG5416,"(144,-27),(142.5,-28)"
The Granites,SF5203,"(130.5,-20),(129,-21)"
Throssell,SG5115,"(124.5,-27),(123,-28)"
Thursday Island,SC5411,"(142.5,-10),(141,-11)"
Tickalara,SH5403,"(142.5,-28),(141,-29)"
Tiwi Islands SP,SC5216,"(132,-11),(130.5,-12)"
Tobermorey,SF5312,"(138,-22),(136.5,-23)"
Toompine,SG5513,"(145.5,-27),(144,-28)"
Torrens,SH5316,"(138,-31),(136.5,-32)"
Townsville,SE5514,"(147,-19),(145.5,-20)"
Trainor,SG5102,"(123,-24),(121.5,-25)"
Turee Creek,SF5015,"(118.5,-23),(117,-24)"
Uluru/Ayers Rock,SG5208,"(132,-25),(130.5,-26)"
Ural,SF5112,"(126,-22),(124.5,-23)"
Urandangi,SF5405,"(139.5,-21),(138,-22)"
Urapunga,SD5310,"(135,-14),(133.5,-15)"
Urisino,SH5408,"(144,-29),(142.5,-30)"
Vernon,SH5201,"(127.5,-28),(126,-29)"
Victoria River Downs,SE5204,"(132,-15),(130.5,-17)"
Wagga Wagga,SI5515,"(148.5,-35),(147,-36)"
Waigen,SG5214,"(129,-27),(127.5,-28)"
Walgett,SH5511,"(148.5,-30),(147,-31)"
Walhallow,SE5307,"(136.5,-17),(135,-18)"
Walsh,SE5404,"(144,-15),(142.5,-17)"
Wangaratta,SJ5502,"(147,-36),(145.5,-37)"
Wanna,SH5202,"(129,-28),(127.5,-29)"
Warbuton,SJ5506,"(147,-37),(145.5,-38)"
